Student	Date	Year	Month1	Month	Lake	Fraction	group	Replica	t0	Rate_ori	Rate_mol	Rate_C_mg	Rate_C_mg_ave	mg C		Rate.DOC	Modelled	Rate.DOC.ave	Rate.DOC.stdev		Rate.DOC.RSD	Rel.rate.DOC	DOC	pH	Cond	Temp-Cond	Hg	MeHg	Abs204	Abs220	Abs254	Abs285	Abs365	Abs400	Abs600	sUVa	sVISa	SAR	E2_E3	Lability	HI	Hg.DOC	MeHg.DOC	HI_C
Stevie	22.09.2017	2017	September	September_17	Inlet	HMW		3		-0.59	-0.00000059	-0.00708				#DIV/0!	-5								19.71	18.3	2.78	0.028																
Stevie		2017	September	September_17	Outlet	Bulk	Outlet Bulk	1		-0.43	-0.00000043	-0.00516				#DIV/0!	-4						16.6		20.6	21.3					0.681		0.157	0.087	0.009	4.094196582	5.230471404	7.827586207	4.337579618	0				
Stevie		2017	September	September_17	Outlet	Bulk		2		-0.83	-0.00000083	-0.00996				#DIV/0!	-7								20.6	21.3																		
Stevie		2017	September	September_17	Outlet	Bulk		3		-0.62	-0.00000062	-0.00744				#DIV/0!	-5								20.6	21.3																		
Stevie	22.09.2017	2017	September	September_17	Outlet	LMW	Outlet LMW	1		NA													9.2		8.33	18.7	1.13	0.024			0.307		0.064	0.034	0.004	3.32575019	3.683241252	9.029411765	4.796875	0		0.122413606	0.002599935	
Stevie	22.09.2017	2017	September	September_17	Outlet	LMW		2		-0.73	-0.00000073	-0.00876				#DIV/0!	-6								8.33	18.7	1.13	0.024																
Stevie	22.09.2017	2017	September	September_17	Outlet	LMW		3		-0.9	-0.0000009	-0.0108				#DIV/0!	-8								8.33	18.7	1.13	0.024																
Stevie	22.09.2017	2017	September	September_17	Outlet	HMW	Outlet HMW	1		-0.55	-0.00000055	-0.0066				#DIV/0!	-5						20.8		16.41	18.3	3.86	0.059			0.851		0.202	0.112	0.013	4.095875247	5.390576118	7.598214286	4.212871287	0		0.185782355	0.002839678	
Stevie	22.09.2017	2017	September	September_17	Outlet	HMW		2		-1.14	-0.00000114	-0.01368				#DIV/0!	-10								16.41	18.3	3.86	0.059																
Stevie	22.09.2017	2017	September	September_17	Outlet	HMW		3		-0.49	-0.00000049	-0.00588				#DIV/0!	-4								16.41	18.3	3.86	0.059																
