station_id,station_code,station_name,sample_date,depth1,depth2,DOC_mg/L C,Hg (IVL)Filtrert_ng/l,Hg(IVL)_ng/l,Hg_ng/l,MeHg(IVL) Filtrert_ng/l,MeHg(IVL)_ng/l,MeHg_ng/l,TOC_mg C/l,UVABS254(filtrert+ufiltrert)_Abs/cm,UVABS254(ufiltrert)_Abs/cm,UVABS365(filtrert+ufiltrert)_Abs/cm,UVABS365(ufiltrert)_Abs/cm,UVABS410(filtrert+ufiltrert)_Abs/cm,UVABS410(ufiltrert)_Abs/cm
108,LAE01,"Langtjern, utløp",2017-03-25 14:10:00,0.0,0.0,,,,,,,,12.6,,,,,,
108,LAE01,"Langtjern, utløp",2017-04-01 00:00:00,0.0,0.0,,,,,,,,13.3,,,,,,
108,LAE01,"Langtjern, utløp",2017-04-01 12:44:00,0.0,0.0,,,,,,,,12.7,,,,,,
108,LAE01,"Langtjern, utløp",2017-04-09 12:01:00,0.0,0.0,,,,,,,,11.6,,,,,,
108,LAE01,"Langtjern, utløp",2017-04-16 00:00:00,0.0,0.0,,,,,,,,10.2,,,,,,
108,LAE01,"Langtjern, utløp",2017-04-23 11:40:00,0.0,0.0,,,,,,,,10.3,,,,,,
108,LAE01,"Langtjern, utløp",2017-04-30 13:03:00,0.0,0.0,,,,,,,,10.7,,,,,,
108,LAE01,"Langtjern, utløp",2017-05-07 12:20:00,0.0,0.0,,,,,,,,9.6,,,,,,
108,LAE01,"Langtjern, utløp",2017-05-14 12:20:00,0.0,0.0,,,,,,,,9.1,,,,,,
108,LAE01,"Langtjern, utløp",2017-05-21 12:03:00,0.0,0.0,,,,,,,,10.1,,,,,,
108,LAE01,"Langtjern, utløp",2017-05-28 12:36:00,0.0,0.0,,,,,,,,10.0,,,,,,
108,LAE01,"Langtjern, utløp",2017-06-04 00:00:00,0.0,0.0,,,,,,,,10.1,,,,,,
108,LAE01,"Langtjern, utløp",2017-06-11 13:36:00,0.0,0.0,,,,,,,,11.8,,,,,,
108,LAE01,"Langtjern, utløp",2017-06-18 12:10:00,0.0,0.0,,,,,,,,12.1,,,,,,
108,LAE01,"Langtjern, utløp",2017-06-25 11:17:00,0.0,0.0,,,,,,,,11.8,,,,,,
108,LAE01,"Langtjern, utløp",2017-07-02 12:10:00,0.0,0.0,,,,,,,,11.5,,,,,,
108,LAE01,"Langtjern, utløp",2017-07-10 10:25:00,0.0,0.0,,,,,,,,11.6,,,,,,
108,LAE01,"Langtjern, utløp",2017-07-16 10:06:00,0.0,0.0,,,,,,,,10.9,,,,,,
108,LAE01,"Langtjern, utløp",2017-07-24 14:38:00,0.0,0.0,,,,,,,,10.4,,,,,,
108,LAE01,"Langtjern, utløp",2017-07-30 12:22:00,0.0,0.0,,,,,,,,10.8,,,,,,
108,LAE01,"Langtjern, utløp",2017-08-05 13:31:00,0.0,0.0,,,,,,,,11.4,,,,,,
108,LAE01,"Langtjern, utløp",2017-08-14 16:14:00,0.0,0.0,,,,,,,,15.1,,,,,,
