Station.ID	Station.Code	Station	Date	TOC_m	THg_m	MeHg_m	X254nm	X285nm	X365nm	X400nm	THg_s	MeHg_s	DOC_s	X254nm_s	X285nm_s	X365nm_s	X400nm_s	labile_m	labile_s	sUVa_m	sUVa_s	sVISa_m	sVISa_s	SAR_m	E2_E3_m	E2_E3_s	THGTOC_m	THGDOC_s	MeHGTOC_m	MeHGDOC_s	MeHg_rel_m
108	LAE01	Outlet	24.10.2016	11.1	NA	NA	0.537132	0.3854034	0.127152	0.072354	NA	NA	NA	NA	NA	NA	NA	3.472103	NA	4.839027	NA	6.518378	NA	7423.667	4.22433	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	30.10.2016	11.4	3.895	0.141265	0.541788	0.387402	0.126546	0.072102	NA	NA	NA	NA	NA	NA	NA	3.398263	NA	4.752526	NA	6.324737	NA	7514.188	4.281352	NA	0.3416667	NA	0.012391667	NA	3.6268293
108	LAE01	Outlet	07.11.2016	11.7	NA	NA	0.546016	0.391456	0.127784	0.0722364	NA	NA	NA	NA	NA	NA	NA	3.345778	NA	4.666803	NA	6.174051	NA	7558.738	4.272961	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	13.11.2016	12.3	NA	NA	0.5763	0.413112	0.134508	0.0755404	NA	NA	NA	NA	NA	NA	NA	3.358634	NA	4.685366	NA	6.141496	NA	7629.03	4.284504	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	19.11.2016	12.1	NA	NA	0.571304	0.410404	0.133564	0.0748884	NA	NA	NA	NA	NA	NA	NA	3.391769	NA	4.721521	NA	6.189124	NA	7628.738	4.27738	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	27.11.2016	13.2	3.714192	0.12383905	0.562948	0.405824	0.13078	0.07258	NA	NA	NA	NA	NA	NA	NA	3.074424	NA	4.264758	NA	5.498485	NA	7756.241	4.304542	NA	0.2813782	NA	0.009381746	NA	3.3342124
108	LAE01	Outlet	04.12.2016	13.5	NA	NA	0.569704	0.410656	0.13272	0.073492	NA	NA	NA	NA	NA	NA	NA	3.041896	NA	4.22003	NA	5.443852	NA	7751.919	4.292526	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	11.12.2016	13	NA	NA	0.579868	0.417748	0.1345	0.074272	NA	NA	NA	NA	NA	NA	NA	3.213446	NA	4.460523	NA	5.713231	NA	7807.357	4.311286	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	18.12.2016	13.5	NA	NA	0.618936	0.447336	0.144488	0.079784	NA	NA	NA	NA	NA	NA	NA	3.3136	NA	4.584711	NA	5.909926	NA	7757.646	4.28365	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	27.12.2016	13.1	3.660273	0.12899505	0.651044	0.470736	0.152904	0.085452	NA	NA	NA	NA	NA	NA	NA	3.593405	NA	4.969802	NA	6.523053	NA	7618.827	4.257861	NA	0.2794101	NA	0.00984695	NA	3.5241922
108	LAE01	Outlet	01.01.2017	13.1	NA	NA	0.656656	0.472852	0.152836	0.084828	NA	NA	NA	NA	NA	NA	NA	3.609557	NA	5.012641	NA	6.47542	NA	7741.029	4.296475	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	08.01.2017	13.8	NA	NA	0.649772	0.468076	0.151408	0.084144	NA	NA	NA	NA	NA	NA	NA	3.391855	NA	4.708493	NA	6.097391	NA	7722.143	4.29153	NA	NA	NA	NA	NA	NA
