"","Station.ID","Station.Code","Station","Date","TOC_m","THg_m","MeHg_m","X254nm","X285nm","X365nm","X400nm","THg_s","MeHg_s","DOC_s","X254nm_s","X285nm_s","X365nm_s","X400nm_s","labile_m","labile_s","sUVa_m","sUVa_s","sVISa_m","sVISa_s","SAR_m","E2_E3_m","E2_E3_s","THGTOC_m","THGDOC_s","MeHGTOC_m","MeHGDOC_s","MeHg_rel_m","Year","month_day"
"27",108,"LAE01","Outlet",2016-07-03,11.4,NA,NA,0.51192,0.364604,0.114512,0.063044,NA,NA,NA,NA,NA,NA,NA,3.19828070175439,NA,4.49052631578947,NA,5.53017543859649,NA,8120.04314447053,4.47044851194635,NA,NA,NA,NA,NA,NA,"2016",2024-07-03
"28",108,"LAE01","Outlet",2016-07-10,11.7,NA,NA,0.478152,0.340384,0.107224,0.059164,NA,NA,NA,NA,NA,NA,NA,2.90926495726496,NA,4.08676923076923,NA,5.05675213675214,NA,8081.80650395511,4.45937476684324,NA,NA,NA,NA,NA,NA,"2016",2024-07-10
"29",108,"LAE01","Outlet",2016-07-17,11.5,NA,NA,0.487496,0.346192,0.108768,0.060156,NA,NA,NA,NA,NA,NA,NA,3.0103652173913,NA,4.23909565217391,NA,5.23095652173913,NA,8103.8632887825,4.48197999411592,NA,NA,NA,NA,NA,NA,"2016",2024-07-17
"30",108,"LAE01","Outlet",2016-07-23,11.3,NA,NA,0.47528,0.336092,0.106464,0.059772,NA,NA,NA,NA,NA,NA,NA,2.97426548672566,NA,4.20601769911504,NA,5.28955752212389,NA,7951.54922037074,4.46423204087767,NA,NA,NA,NA,NA,NA,"2016",2024-07-23
"31",108,"LAE01","Outlet",2016-07-31,11.8,3.23,0.07042039,0.51824,0.367196,0.115956,0.064644,NA,NA,NA,NA,NA,NA,NA,3.11183050847458,NA,4.39186440677966,NA,5.47830508474576,NA,8016.83064166821,4.46928145158508,NA,0.273728813559322,NA,0.00596782966101695,NA,2.18019783281734,"2016",2024-07-31
"32",108,"LAE01","Outlet",2016-08-07,12.3,NA,NA,0.531984,0.380844,0.120876,0.066834,NA,NA,NA,NA,NA,NA,NA,3.09629268292683,NA,4.32507317073171,NA,5.43365853658537,NA,7959.78094981596,4.40107217313611,NA,NA,NA,NA,NA,NA,"2016",2024-08-07
"33",108,"LAE01","Outlet",2016-08-14,13.4,NA,NA,0.63315,0.453222,0.144714,0.080574,NA,NA,NA,NA,NA,NA,NA,3.38225373134328,NA,4.725,NA,6.01298507462687,NA,7857.9938938119,4.37518139226336,NA,NA,NA,NA,NA,NA,"2016",2024-08-14
"34",108,"LAE01","Outlet",2016-08-21,12.8,NA,NA,0.589626,0.419616,0.13404,0.074814,NA,NA,NA,NA,NA,NA,NA,3.27825,NA,4.606453125,NA,5.84484375,NA,7881.22543908894,4.39888093106535,NA,NA,NA,NA,NA,NA,"2016",2024-08-21
"35",108,"LAE01","Outlet",2016-08-28,12.8,3.262757,0.08,0.57558,0.412308,0.133014,0.074826,NA,NA,NA,NA,NA,NA,NA,3.22115625,NA,4.49671875,NA,5.84578125,NA,7692.24601074493,4.32721367675583,NA,0.254902890625,NA,0.00625,NA,2.45191413274111,"2016",2024-08-28
"36",108,"LAE01","Outlet",2016-09-05,12.5,NA,NA,0.592488,0.423612,0.137262,0.07752,NA,NA,NA,NA,NA,NA,NA,3.388896,NA,4.739904,NA,6.2016,NA,7643.03405572755,4.31647506228964,NA,NA,NA,NA,NA,NA,"2016",2024-09-05
"37",108,"LAE01","Outlet",2016-09-11,12.3,NA,NA,0.554844,0.394734,0.126654,0.071172,NA,NA,NA,NA,NA,NA,NA,3.20921951219512,NA,4.51092682926829,NA,5.78634146341463,NA,7795.81858034058,4.38078544696575,NA,NA,NA,NA,NA,NA,"2016",2024-09-11
"38",NA,"","Outlet",2016-09-15,NA,NA,NA,NA,NA,NA,NA,2.91,0.07,12.22,0.417,0.296,0.092,0.051,NA,2.42225859247136,NA,3.41243862520458,NA,4.1734860883797,NA,NA,4.53260869565217,NA,0.238134206219313,NA,0.00572831423895254,NA,"2016",2024-09-15
"39",108,"LAE01","Outlet",2016-09-18,12,NA,NA,0.539802,0.383958,0.1242726,0.070416,NA,NA,NA,NA,NA,NA,NA,3.19965,NA,4.49835,NA,5.868,NA,7665.89979550102,4.3436928172421,NA,NA,NA,NA,NA,NA,"2016",2024-09-18
"40",108,"LAE01","Outlet",2016-09-19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",2024-09-19
"41",108,"LAE01","Outlet",2016-09-24,11.8,3.780215,0.1,0.520308,0.36954,0.1186926,0.067464,NA,NA,NA,NA,NA,NA,NA,3.13169491525424,NA,4.40938983050847,NA,5.71728813559322,NA,7712.37993596585,4.38365997543234,NA,0.32035720338983,NA,0.00847457627118644,NA,2.64535218234942,"2016",2024-09-24
"42",108,"LAE01","Outlet",2016-10-02,11.7,NA,NA,0.52737,0.377454,0.122814,0.069288,NA,NA,NA,NA,NA,NA,NA,3.22610256410256,NA,4.5074358974359,NA,5.92205128205128,NA,7611.2746795982,4.29405442376276,NA,NA,NA,NA,NA,NA,"2016",2024-10-02
"43",108,"LAE01","Outlet",2016-10-09,11.2,NA,NA,0.531492,0.381648,0.125766,0.071658,NA,NA,NA,NA,NA,NA,NA,3.40757142857143,NA,4.74546428571429,NA,6.39803571428571,NA,7417.06438918195,4.22603883402509,NA,NA,NA,NA,NA,NA,"2016",2024-10-09
"44",108,"LAE01","Outlet",2016-10-17,10.7,NA,NA,0.554334,0.397986,0.131754,0.075108,NA,NA,NA,NA,NA,NA,NA,3.7194953271028,NA,5.18069158878505,NA,7.01943925233645,NA,7380.4920913884,4.20734095359534,NA,NA,NA,NA,NA,NA,"2016",2024-10-17
"45",108,"LAE01","Outlet",2016-10-20,11.3,NA,NA,0.51228,0.366858,0.120912,0.069264,NA,NA,NA,NA,NA,NA,NA,3.24653097345133,NA,4.53345132743363,NA,6.12955752212389,NA,7396.04989604989,4.23680031758634,NA,NA,NA,NA,NA,NA,"2016",2024-10-20
"46",108,"LAE01","Outlet",2016-10-24,11.1,NA,NA,0.537132,0.3854034,0.127152,0.072354,NA,NA,NA,NA,NA,NA,NA,3.4721027027027,NA,4.83902702702703,NA,6.51837837837838,NA,7423.66697072726,4.22432993582484,NA,NA,NA,NA,NA,NA,"2016",2024-10-24
"47",108,"LAE01","Outlet",2016-10-30,11.4,3.895,0.141265,0.541788,0.387402,0.126546,0.072102,NA,NA,NA,NA,NA,NA,NA,3.39826315789474,NA,4.75252631578947,NA,6.32473684210526,NA,7514.18823333611,4.28135223555071,NA,0.341666666666667,NA,0.0123916666666667,NA,3.62682926829268,"2016",2024-10-30
"48",108,"LAE01","Outlet",2016-11-07,11.7,NA,NA,0.546016,0.391456,0.127784,0.0722364,NA,NA,NA,NA,NA,NA,NA,3.34577777777778,NA,4.66680341880342,NA,6.17405128205128,NA,7558.73770010687,4.27296062104802,NA,NA,NA,NA,NA,NA,"2016",2024-11-07
"49",108,"LAE01","Outlet",2016-11-13,12.3,NA,NA,0.5763,0.413112,0.134508,0.0755404,NA,NA,NA,NA,NA,NA,NA,3.35863414634146,NA,4.68536585365854,NA,6.14149593495935,NA,7629.03029372362,4.28450352395397,NA,NA,NA,NA,NA,NA,"2016",2024-11-13
"50",108,"LAE01","Outlet",2016-11-19,12.1,NA,NA,0.571304,0.410404,0.133564,0.0748884,NA,NA,NA,NA,NA,NA,NA,3.39176859504132,NA,4.72152066115703,NA,6.18912396694215,NA,7628.73822915165,4.277380132371,NA,NA,NA,NA,NA,NA,"2016",2024-11-19
"51",108,"LAE01","Outlet",2016-11-27,13.2,3.714192,0.12383905,0.562948,0.405824,0.13078,0.07258,NA,NA,NA,NA,NA,NA,NA,3.07442424242424,NA,4.26475757575758,NA,5.49848484848485,NA,7756.24138881234,4.30454197889586,NA,0.281378181818182,NA,0.00938174621212121,NA,3.33421239397425,"2016",2024-11-27
"52",108,"LAE01","Outlet",2016-12-04,13.5,NA,NA,0.569704,0.410656,0.13272,0.073492,NA,NA,NA,NA,NA,NA,NA,3.0418962962963,NA,4.22002962962963,NA,5.44385185185185,NA,7751.91857617156,4.29252561784207,NA,NA,NA,NA,NA,NA,"2016",2024-12-04
"53",108,"LAE01","Outlet",2016-12-11,13,NA,NA,0.579868,0.417748,0.1345,0.074272,NA,NA,NA,NA,NA,NA,NA,3.21344615384615,NA,4.46052307692308,NA,5.71323076923077,NA,7807.35674278328,4.31128624535316,NA,NA,NA,NA,NA,NA,"2016",2024-12-11
"54",108,"LAE01","Outlet",2016-12-18,13.5,NA,NA,0.618936,0.447336,0.144488,0.079784,NA,NA,NA,NA,NA,NA,NA,3.3136,NA,4.58471111111111,NA,5.90992592592593,NA,7757.64564323674,4.28364985327501,NA,NA,NA,NA,NA,NA,"2016",2024-12-18
"55",108,"LAE01","Outlet",2016-12-27,13.1,3.660273,0.12899505,0.651044,0.470736,0.152904,0.085452,NA,NA,NA,NA,NA,NA,NA,3.59340458015267,NA,4.96980152671756,NA,6.5230534351145,NA,7618.8269437813,4.25786114163135,NA,0.279410152671756,NA,0.00984695038167939,NA,3.52419204797019,"2016",2024-12-27
"56",108,"LAE01","Outlet",2017-01-01,13.1,NA,NA,0.656656,0.472852,0.152836,0.084828,NA,NA,NA,NA,NA,NA,NA,3.6095572519084,NA,5.01264122137405,NA,6.47541984732824,NA,7741.02890555005,4.29647465256877,NA,NA,NA,NA,NA,NA,"2017",2024-01-01
"57",108,"LAE01","Outlet",2017-01-08,13.8,NA,NA,0.649772,0.468076,0.151408,0.084144,NA,NA,NA,NA,NA,NA,NA,3.39185507246377,NA,4.70849275362319,NA,6.09739130434783,NA,7722.14299296444,4.29153017013632,NA,NA,NA,NA,NA,NA,"2017",2024-01-08
"58",108,"LAE01","Outlet",2017-01-15,13.4,NA,NA,0.67946,0.490512,0.159032,0.08866,NA,NA,NA,NA,NA,NA,NA,3.66053731343284,NA,5.07059701492537,NA,6.61641791044776,NA,7663.65892172344,4.27247346445998,NA,NA,NA,NA,NA,NA,"2017",2024-01-15
"59",108,"LAE01","Outlet",2017-01-22,13.1,NA,NA,0.635304,0.45864,0.148064,0.082076,NA,NA,NA,NA,NA,NA,NA,3.50106870229008,NA,4.84964885496183,NA,6.26534351145038,NA,7740.43569374726,4.29073913983142,NA,NA,NA,NA,NA,NA,"2017",2024-01-22
"60",108,"LAE01","Outlet",2017-01-25,13.7,NA,NA,0.644912,0.46474,0.149868,0.083104,2.97,0.09,13.63,0.541,0.388,0.124,0.07,3.39226277372263,2.84666177549523,4.70738686131387,3.96918561995598,6.06598540145985,5.13573000733676,7760.30034655372,4.30320014946486,4.36290322580645,NA,0.217901687454145,NA,0.0066030814380044,NA,"2017",2024-01-25
"61",108,"LAE01","Outlet",2017-01-29,14.2,4.1843,0.02921968,0.668852,0.479944,0.154256,0.085684,NA,NA,NA,NA,NA,NA,NA,3.37988732394366,NA,4.71022535211268,NA,6.03408450704225,NA,7806.03146445077,4.33598693081631,NA,0.294669014084507,NA,0.00205772394366197,NA,0.698317042277083,"2017",2024-01-29
"62",108,"LAE01","Outlet",2017-02-05,13,NA,NA,0.6331996,0.458044,0.148928,0.083044,NA,NA,NA,NA,NA,NA,NA,3.52341538461538,NA,4.87076615384615,NA,6.388,NA,7624.86874428014,4.251716265578,NA,NA,NA,NA,NA,NA,"2017",2024-02-05
"63",108,"LAE01","Outlet",2017-02-11,13.1,NA,NA,0.6400236,0.464728,0.151864,0.085088,NA,NA,NA,NA,NA,NA,NA,3.54754198473282,NA,4.88567633587786,NA,6.49526717557252,NA,7521.90203083866,4.21445240478323,NA,NA,NA,NA,NA,NA,"2017",2024-02-11
"64",108,"LAE01","Outlet",2017-02-19,13.2,NA,NA,0.6250836,0.453848,0.147936,0.083072,NA,NA,NA,NA,NA,NA,NA,3.43824242424242,NA,4.73548181818182,NA,6.29333333333333,NA,7524.60034668721,4.22536502271252,NA,NA,NA,NA,NA,NA,"2017",2024-02-19
"65",108,"LAE01","Outlet",2017-02-25,13.2,3.430818,0.06600567,0.635636,0.460128,0.149428,0.08322,NA,NA,NA,NA,NA,NA,NA,3.48581818181818,NA,4.81542424242424,NA,6.30454545454545,NA,7638.01970680125,4.25379446957732,NA,0.259910454545455,NA,0.00500042954545455,NA,1.92390473642146,"2017",2024-02-25
"66",108,"LAE01","Outlet",2017-03-06,12.4,NA,NA,0.593752,0.427392,0.135712,0.073152,NA,NA,NA,NA,NA,NA,NA,3.44670967741935,NA,4.78832258064516,NA,5.89935483870968,NA,8116.68853893263,4.37508842254185,NA,NA,NA,NA,NA,NA,"2017",2024-03-06
"67",108,"LAE01","Outlet",2017-03-11,12.7,NA,NA,0.614232,0.447136,0.146068,0.081588,NA,NA,NA,NA,NA,NA,NA,3.52075590551181,NA,4.83647244094488,NA,6.42425196850394,NA,7528.46006765701,4.20510994879097,NA,NA,NA,NA,NA,NA,"2017",2024-03-11
"68",108,"LAE01","Outlet",2017-03-18,12.6,NA,NA,0.576356,0.417584,0.135356,0.075272,NA,NA,NA,NA,NA,NA,NA,3.31415873015873,NA,4.57425396825397,NA,5.97396825396825,NA,7656.97736210012,4.25807500221638,NA,NA,NA,NA,NA,NA,"2017",2024-03-18
"69",108,"LAE01","Outlet",2017-03-25,12.6,3.613785,0.12347679,0.600804,0.435776,0.142404,0.079636,NA,NA,NA,NA,NA,NA,NA,3.45853968253968,NA,4.76828571428571,NA,6.32031746031746,NA,7544.37691496308,4.21901070194657,NA,0.286808333333333,NA,0.00979974523809524,NA,3.41682723238931,"2017",2024-03-25
"70",108,"LAE01","Outlet",2017-04-01,12.7,NA,NA,0.597264,0.433744,0.139384,0.077356,2.89,0.051,10.29,0.619,NA,0.143,0.078,3.41530708661417,NA,4.70286614173228,6.01554907677357,6.09102362204724,7.5801749271137,7720.9783339366,4.28502554095162,4.32867132867133,NA,0.280855199222546,NA,0.00495626822157434,NA,"2017",2024-04-01
